assignment_id,nurse_id,department_id,shift_date,shift_type,is_charge_nurse
1,81,21,2025-02-11,Night,False
2,106,7,2024-03-12,Night,False
3,113,999,2025-09-04,Evening,False
4,37,5,2026-03-11,Evening,True
5,20,3,2026-02-01,Night,False
6,47,4,2026-06-16,Morning,False
7,3,12,2024-03-26,Night,False
8,93,11,2024-08-05,Morning,False
9,106,10,2026-04-23,Morning,False
10,81,10,2025-02-19,Night,False
11,119,16,2025-06-05,Night,False
12,66,19,2026-01-21,Morning,False
13,68,3,2024-09-29,Morning,False
14,95,2,2026-01-08,Evening,False
15,83,7,2025-03-04,Evening,True
16,84,8,2024-12-16,Night,True
17,32,14,2024-10-07,Night,False
18,49,7,2024-01-12,Morning,False
19,82,19,2025-04-09,Night,False
20,7,16,2025-11-30,Evening,False
21,51,13,2024-05-12,Night,False
22,84,13,2025-01-05,Night,False
23,42,8,2026-01-02,Night,False
24,75,2,2025-01-14,Evening,False
25,100,15,2024-08-12,Morning,False
26,80,2,2026-04-02,Morning,False
27,13,5,2025-11-18,Night,False
28,33,8,2025-01-23,Morning,False
29,5,3,2026-11-04,Morning,False
30,71,5,2024-12-03,Night,False
31,95,16,2025-05-02,Morning,False
32,60,3,2025-12-19,Night,False
33,19,15,2026-12-28,Morning,False
34,18,8,2025-04-01,Morning,False
35,112,9,2025-09-19,Morning,False
36,1,9,2026-02-02,Evening,False
37,15,8,2026-11-18,Evening,True
38,9,9,2024-06-10,Night,False
39,84,17,2026-03-22,Morning,False
40,43,15,2025-03-04,Night,False
41,5,3,2024-04-22,Morning,True
42,61,13,2025-02-07,Night,False
43,68,1,2025-02-21,Evening,False
44,20,5,2024-12-01,Night,False
45,83,10,2025-06-15,Morning,False
46,111,15,2024-02-07,Morning,False
47,65,3,2025-06-20,Evening,False
48,103,15,2025-11-24,Morning,True
49,86,5,2025-09-25,Night,False
50,116,11,2026-10-16,Night,False
51,120,19,2025-08-14,Morning,False
52,29,21,2026-07-20,Evening,True
53,61,8,2026-07-01,Evening,False
54,50,10,2025-10-22,Night,False
55,69,9,2024-02-09,Night,False
56,57,5,2024-10-11,Evening,False
57,18,15,2024-09-05,Evening,True
58,32,3,2024-07-22,Night,False
59,75,10,2025-11-22,Morning,False
60,88,14,2025-08-28,Morning,False
61,112,19,2024-04-20,Night,False
62,55,21,2024-03-12,Evening,False
63,29,10,2026-08-03,Night,False
64,59,3,2025-03-05,Morning,False
65,22,17,2025-09-07,Morning,False
66,37,3,2026-04-06,Evening,False
67,54,15,2024-11-21,Morning,False
68,80,1,2025-03-30,Evening,False
69,105,10,2025-10-01,Evening,False
70,100,2,2025-04-28,Evening,False
71,110,2,2026-01-16,Evening,False
72,19,14,2024-05-11,Morning,False
73,107,6,2024-02-15,Night,True
74,19,6,2026-12-30,Night,True
75,113,3,2025-05-11,Evening,False
76,86,17,2026-11-14,Evening,False
77,54,16,2024-07-11,Morning,False
78,78,9,2025-03-11,Night,False
79,81,11,2026-10-29,Night,True
80,24,6,2025-02-13,Evening,False
81,64,1,2026-04-04,Morning,False
82,64,18,2026-07-30,Night,False
83,19,999,2025-04-07,Night,False
84,42,3,2025-02-23,Evening,False
85,3,7,2025-08-31,Evening,False
86,85,14,2024-03-13,Night,False
87,77,16,2026-07-18,Morning,False
88,49,4,2026-02-10,Evening,True
89,25,7,2024-03-31,Morning,False
90,107,21,2026-12-23,Night,False
91,34,14,2025-08-09,Night,False
92,24,19,2024-07-30,Morning,False
93,34,14,2024-06-16,Morning,False
94,51,14,2025-12-13,Night,False
95,60,16,2026-03-05,Morning,False
96,100,6,2024-07-08,Evening,False
97,47,7,2024-04-20,Night,False
98,1,14,2024-12-21,Night,False
99,120,4,2025-03-30,Evening,False
100,76,9,2024-11-28,Evening,False
101,67,16,2024-03-21,Evening,False
102,50,1,2024-05-11,Night,True
103,94,3,2025-06-15,Morning,False
104,6,18,2026-11-06,Night,False
105,67,2,2024-09-17,Evening,False
106,43,18,2026-04-30,Evening,False
107,72,7,2025-03-16,Night,False
108,72,8,2025-03-16,Night,False
109,54,20,2026-10-19,Morning,False
110,37,17,2024-03-05,Morning,False
111,115,21,2026-01-18,Night,False
112,42,18,2026-01-15,Night,False
113,6,4,2024-12-31,Evening,False
114,66,11,2025-05-26,Evening,False
115,70,18,2025-04-05,Evening,False
116,70,20,2025-04-05,Evening,False
117,46,16,2026-09-27,Morning,False
118,83,4,2026-02-15,Night,True
