entity_id,hospital_id,department_id,department_name
1,7,13,Rheumatology
2,17,7,Dermatology
3,8,19,General Surgery
4,1,11,Pulmonology
5,3,8,Ophthalmology
6,20,3,Family Med
7,4,8,Ophthalmology
8,1,5,Orthopedics
9,10,3,Family Med
10,15,1,Internal Med
11,2,19,General Surgery
12,12,6,Neurology
13,13,11,Pulmonology
14,5,21,Radiology
15,18,5,Orthopedics
16,19,3,Family Med
17,25,3,Family Med
18,24,6,Neurology
19,14,20,Emergency Med
20,23,9,ENT
21,12,18,Gynecology
22,17,10,Gastro
23,14,18,Gynecology
24,13,3,Family Med
25,12,1,Internal Med
26,4,3,Family Med
27,23,8,Ophthalmology
28,5,2,Pediatrics
29,6,13,Rheumatology
30,17,5,Orthopedics
31,8,11,Pulmonology
32,22,21,Radiology
33,1,13,Rheumatology
34,14,16,Psychiatry
35,10,6,Neurology
36,23,5,Orthopedics
37,2,4,Cardiology
38,19,7,Dermatology
39,17,19,General Surgery
40,9,6,Neurology
41,19,10,Gastro
42,12,8,Ophthalmology
43,20,16,Psychiatry
44,1,6,Neurology
45,10,15,Oncology
46,20,5,Orthopedics
47,19,9,ENT
48,23,4,Cardiology
49,13,8,Ophthalmology
50,21,3,Family Med
51,8,5,Orthopedics
52,22,18,Gynecology
53,10,20,Emergency Med
54,23,16,Psychiatry
55,13,6,Neurology
56,21,13,Rheumatology
57,18,7,Dermatology
58,2,9,ENT
59,8,15,Oncology
60,22,20,Emergency Med
61,9,14,Nephrology
62,8,7,Dermatology
63,8,8,Ophthalmology
64,21,12,Endocrinology
65,20,18,Gynecology
66,15,6,Neurology
67,12,4,Cardiology
68,99,9,ENT
69,11,15,Oncology
70,5,17,Urology
71,21,2,Pediatrics
72,15,16,Psychiatry
73,14,21,Radiology
74,24,1,Internal Med
75,10,21,Radiology
76,6,12,Endocrinology
77,21,17,Urology
78,19,12,Endocrinology
79,18,9,ENT
80,25,16,Psychiatry
81,23,17,Urology
82,19,1,Internal Med
83,11,18,Gynecology
84,21,11,Pulmonology
85,10,10,Gastro
86,12,14,Nephrology
87,13,9,ENT
88,19,6,Neurology
89,12,20,Emergency Med
90,1,4,Cardiology
91,6,14,Nephrology
92,2,3,Family Med
93,6,16,Psychiatry
94,8,14,Nephrology
95,14,11,Pulmonology
96,22,12,Endocrinology
97,12,20,Emergency Med
98,19,7,Dermatology
99,16,16,Psychiatry
100,5,16,Psychiatry
101,19,6,Neurology
102,21,11,Pulmonology
103,30,3,Non-existent Dept
104,20,15,Oncology
105,10,6,Neurology
106,12,1,Internal Med
107,20,2,Pediatrics
108,22,13,Rheumatology
109,2,8,Ophthalmology
110,12,15,Oncology
111,25,2,Pediatrics
112,13,6,Neurology
113,13,7,Dermatology
114,19,16,Psychiatry
115,23,4,Cardiology
116,20,15,Oncology
117,9,10,Gastro
118,20,12,Endocrinology
119,2,10,Gastro
120,2,1,Internal Med
121,25,10,Gastro
122,6,10,Gastro
123,9,21,Radiology
124,18,11,Pulmonology
125,4,2,Pediatrics
126,13,21,Radiology
127,24,12,Endocrinology
128,5,16,Psychiatry
129,22,3,Family Med
130,18,13,Rheumatology
131,2,9,ENT
132,10,16,Psychiatry
133,1,14,Nephrology
134,14,4,Cardiology
135,25,18,Gynecology
136,6,12,Endocrinology
137,24,4,Cardiology
138,4,4,Cardiology
139,13,17,Urology
140,21,14,Nephrology
141,22,11,Pulmonology
142,15,2,Pediatrics
143,5,16,Psychiatry
144,14,15,Oncology
145,9,16,Psychiatry
146,13,6,Neurology
147,19,10,Gastro
148,15,15,Oncology
149,1,6,Neurology
150,5,4,Cardiology
151,16,4,Cardiology
152,12,2,Pediatrics
153,13,12,Non-existent Dept
154,17,8,Ophthalmology
155,12,4,Cardiology
156,20,13,Rheumatology
157,22,3,Family Med
158,20,11,Pulmonology
159,15,2,Pediatrics
160,11,1,Internal Med
161,24,1,Internal Med
162,25,17,Urology
163,7,3,Family Med
164,1,21,Radiology
165,18,11,Pulmonology
166,18,14,Nephrology
167,14,6,Neurology
168,21,18,Gynecology
169,32,16,Non-existent Dept
170,10,14,Nephrology
171,12,15,Oncology
172,25,7,Dermatology
173,2,16,Psychiatry
174,9,1,Internal Med
175,21,5,Orthopedics
176,12,17,Urology
177,20,17,Urology
178,13,21,Radiology
179,12,18,Gynecology
180,19,6,Neurology
181,13,8,Ophthalmology
182,7,8,Ophthalmology
183,20,4,Cardiology
184,22,12,Endocrinology
185,17,14,Nephrology
186,1,10,Gastro
187,16,11,Pulmonology
188,17,3,Family Med
189,29,8,Non-existent Dept
190,9,12,Endocrinology
191,25,8,Ophthalmology
192,22,2,Pediatrics
193,20,8,Ophthalmology
194,18,14,Nephrology
195,6,4,Cardiology
196,10,18,Gynecology
197,22,13,Rheumatology
198,9,4,Cardiology
199,12,9,ENT
200,1,1,Internal Med
201,21,20,Emergency Med
202,8,7,Dermatology
203,8,3,Family Med
204,16,9,ENT
205,9,18,Gynecology
206,21,99,Neurology
207,2,14,Nephrology
208,1,21,Non-existent Dept
209,22,11,Pulmonology
210,2,13,Rheumatology
211,21,1,Internal Med
212,11,16,Psychiatry
213,15,7,Dermatology
214,19,5,Orthopedics
215,8,1,Internal Med
216,12,13,Rheumatology
217,18,9,ENT
218,24,7,Dermatology
219,22,1,Internal Med
220,16,2,Pediatrics
221,8,7,Dermatology
222,18,14,Nephrology
223,99,19,General Surgery
224,7,12,Endocrinology
225,19,14,Nephrology
226,1,12,Endocrinology
227,20,13,Rheumatology
228,2,4,Cardiology
229,7,5,Orthopedics
230,8,19,General Surgery
231,3,17,Urology
232,18,21,Radiology
233,20,8,Ophthalmology
234,6,20,Emergency Med
235,2,19,General Surgery
236,23,3,Family Med
237,13,8,Ophthalmology
238,15,21,Radiology
239,12,18,Gynecology
240,14,17,Urology
241,10,20,Emergency Med
242,19,15,Oncology
243,25,21,Radiology
244,23,12,Endocrinology
245,12,12,Endocrinology
246,14,10,Gastro
247,21,1,Internal Med
248,19,16,Psychiatry
249,12,1,Internal Med
250,25,10,Non-existent Dept
251,99,12,Endocrinology
252,4,13,Rheumatology
253,1,19,General Surgery
254,22,2,Pediatrics
255,5,8,Ophthalmology
256,9,6,Neurology
257,12,12,Endocrinology
258,24,7,Dermatology
259,8,19,General Surgery
260,8,9,ENT
261,20,20,Emergency Med
262,25,4,Cardiology
263,16,12,Endocrinology
264,2,7,Dermatology
265,21,1,Internal Med
266,2,6,Neurology
267,10,10,Gastro
268,14,12,Endocrinology
269,8,3,Family Med
270,20,15,Oncology
271,18,4,Non-existent Dept
272,18,16,Psychiatry
273,11,3,Family Med
274,11,5,Orthopedics
275,11,1,Internal Med
276,19,19,General Surgery
277,20,2,Pediatrics
278,11,19,General Surgery
279,9,16,Psychiatry
280,23,18,Gynecology
281,12,15,Oncology
282,18,12,Endocrinology
283,4,13,Rheumatology
284,23,11,Pulmonology
285,17,12,Endocrinology
286,22,11,Pulmonology
287,5,18,Gynecology
288,15,18,Gynecology
289,11,99,General Surgery
290,2,8,Ophthalmology
291,8,13,Rheumatology
292,14,11,Pulmonology
293,8,6,Neurology
294,13,18,Gynecology
295,2,9,Non-existent Dept
296,4,11,Pulmonology
297,14,3,Family Med
298,25,6,Neurology
299,1,21,Non-existent Dept
300,20,17,Urology
301,2,21,Radiology
302,13,8,Ophthalmology
303,20,13,Rheumatology
304,12,4,Cardiology
305,2,2,Pediatrics
306,25,12,Endocrinology
307,23,6,Neurology
308,1,10,Gastro
309,17,8,Ophthalmology
310,15,5,Orthopedics
311,20,4,Cardiology
312,22,13,Rheumatology
313,6,14,Nephrology
314,1,20,Emergency Med
315,18,13,Rheumatology
316,18,19,General Surgery
317,24,10,Gastro
318,10,16,Psychiatry
319,15,6,Neurology
320,23,10,Gastro
321,8,12,Endocrinology
322,10,2,Pediatrics
323,25,7,Dermatology
324,24,9,ENT
325,12,12,Endocrinology
326,16,16,Psychiatry
327,9,13,Rheumatology
328,24,3,Family Med
329,2,11,Pulmonology
330,18,5,Orthopedics
331,13,9,ENT
332,13,19,General Surgery
333,2,3,Family Med
334,7,18,Gynecology
335,10,17,Urology
336,6,18,Gynecology
337,11,20,Emergency Med
338,25,13,Rheumatology
339,9,9,ENT
340,17,9,ENT
341,9,7,Dermatology
342,4,21,Radiology
343,5,1,Internal Med
344,3,12,Endocrinology
345,21,17,Urology
346,1,17,Urology
347,8,2,Pediatrics
348,18,15,Oncology
349,20,18,Gynecology
350,2,19,General Surgery
351,16,15,Oncology
352,24,17,Urology
353,4,3,Family Med
354,25,3,Family Med
355,10,15,Oncology
356,5,8,Ophthalmology
357,2,21,Radiology
358,1,14,Nephrology
359,12,11,Pulmonology
360,10,4,Cardiology
361,24,12,Endocrinology
362,16,12,Endocrinology
363,18,13,Rheumatology
364,12,20,Emergency Med
365,24,12,Endocrinology
366,11,16,Psychiatry
367,23,14,Nephrology
368,23,1,Internal Med
369,19,12,Endocrinology
370,18,7,Dermatology
371,7,12,Endocrinology
372,13,12,Endocrinology
373,13,20,Emergency Med
374,18,3,Family Med
375,1,5,Orthopedics
376,18,6,Neurology
377,15,5,Orthopedics
378,8,14,Nephrology
379,19,5,Orthopedics
380,4,19,General Surgery
381,11,16,Psychiatry
382,12,17,Urology
383,2,5,Orthopedics
384,13,2,Pediatrics
385,6,19,General Surgery
386,23,5,Orthopedics
387,17,3,Family Med
388,4,17,Urology
389,12,16,Psychiatry
390,8,17,Urology
391,25,15,Oncology
392,1,8,Ophthalmology
393,17,13,Rheumatology
394,5,18,Gynecology
395,2,19,General Surgery
396,1,10,Gastro
397,9,1,Internal Med
398,23,4,Cardiology
399,1,19,Non-existent Dept
400,4,2,Pediatrics
401,16,10,Gastro
402,16,10,Gastro
403,12,1,Internal Med
404,4,8,Ophthalmology
405,19,15,Oncology
406,4,8,Ophthalmology
407,2,18,Gynecology
408,2,18,Non-existent Dept
409,19,5,Orthopedics
410,5,11,Pulmonology
411,12,15,Oncology
412,2,20,Emergency Med
413,12,6,Neurology
414,8,13,Rheumatology
415,9,16,Psychiatry
416,21,3,Family Med
417,14,4,Cardiology
418,22,19,General Surgery
419,7,6,Neurology
420,11,16,Psychiatry
421,4,1,Internal Med
422,23,14,Nephrology
423,13,16,Psychiatry
424,7,3,Family Med
425,25,12,Endocrinology
426,23,4,Cardiology
427,13,3,Family Med
428,23,15,Oncology
429,2,12,Endocrinology
430,16,18,Gynecology
431,1,7,Dermatology
432,18,16,Psychiatry
433,7,6,Neurology
434,1,3,Family Med
435,25,2,Pediatrics
436,24,19,General Surgery
437,12,7,Dermatology
438,9,19,General Surgery
439,17,16,Psychiatry
440,15,19,General Surgery
441,2,20,Emergency Med
442,13,18,Gynecology
443,15,7,Dermatology
444,4,13,Rheumatology
445,16,7,Dermatology
446,16,19,General Surgery
447,1,19,General Surgery
448,6,18,Gynecology
449,25,21,Radiology
450,9,11,Pulmonology
451,25,6,Neurology
452,5,16,Psychiatry
453,17,7,Dermatology
454,22,12,Endocrinology
455,12,12,Endocrinology
456,12,3,Family Med
457,6,16,Psychiatry
458,25,16,Psychiatry
459,7,13,Rheumatology
460,15,1,Internal Med
461,8,9,ENT
462,20,20,Emergency Med
463,12,8,Ophthalmology
464,5,1,Internal Med
465,13,1,Internal Med
466,3,14,Nephrology
467,11,19,General Surgery
